"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"31","RT @SamPancher: “Eu não sabia nem o que era o SUS” - Ministro da Saúde Eduardo Pazuello https://t.co/RwN1SaQirm",FALSE,0,NA,2020-10-07 20:16:59,FALSE,NA,"1313936379529908224",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","luizgilsonjr",514,TRUE,FALSE,NA,NA
"32","RT @GuilhermeBoulos: “Eu não sabia nem o que era o SUS."" Essa frase foi dita HOJE pelo atual Ministro da Saúde do governo Bolsonaro, no mei…",FALSE,0,NA,2020-10-07 20:16:57,FALSE,NA,"1313936373003493376",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","deutilt_daniel",1815,TRUE,FALSE,NA,NA
"33","@bracimadetudo17 @UOLNoticias Quero saber qual político utilizar o SUS? Gente por favor né! Eu sei pq sou da área d… https://t.co/fuuSZqwqat",FALSE,0,"bracimadetudo17",2020-10-07 20:16:57,TRUE,"1313884642706165762","1313936372055650304","292497244","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FidelisGilmara",0,FALSE,FALSE,NA,NA
"34","RT @erikakokay: URGENTE

Ministro da Saúde de Bolsonaro acaba de assumir que ""não sabia nem o que era o SUS"" antes da pandemia. A gente sab…",FALSE,0,NA,2020-10-07 20:16:55,FALSE,NA,"1313936363683807239",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ValriaJorge2",126,TRUE,FALSE,NA,NA
"35","RT @VittorGuidoni: se defende o sus = namora comigo",FALSE,0,NA,2020-10-07 20:16:52,FALSE,NA,"1313936350522077189",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","sereiaemaltomar",2373,TRUE,FALSE,NA,NA
"36","Pazuello revela que não sabia o que era o SUS antes de assumir ministério | Revista Fórum https://t.co/F6zET9kqKN",FALSE,0,NA,2020-10-07 20:16:48,FALSE,NA,"1313936335439310855",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MarinaK44",0,FALSE,FALSE,NA,NA
"37","vittinho do sus tá solteiro ????? esse momento eh meu https://t.co/PGDvQbqO4D",FALSE,0,NA,2020-10-07 20:16:45,FALSE,NA,"1313936323309383680",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nattomlinsonn",0,FALSE,FALSE,NA,NA
"38","RT @UOLNoticias: ""Nem sabia o que era SUS"", diz ministro da Saúde em lançamento de campanha https://t.co/1STL4KyJpv",FALSE,0,NA,2020-10-07 20:16:45,FALSE,NA,"1313936321568804865",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","deutilt_daniel",215,TRUE,FALSE,NA,NA
"39","RT @IvanValente: ""Nem sabia o que era SUS"", diz Pazuello. No desgoverno Bolsonaro, não é preciso ter a mínima noção sobre Saúde nem conhece…",FALSE,0,NA,2020-10-07 20:16:43,FALSE,NA,"1313936312072798209",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Medeiros_Luisa_",19,TRUE,FALSE,NA,NA
"40","Agora to na sala de espera para a ressonância magnética do crânio, deitada na maca... um dos exames mais caros que… https://t.co/jl0tjt03Vz",FALSE,0,NA,2020-10-07 20:16:42,TRUE,NA,"1313936309849853952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","carolinaacob",0,FALSE,FALSE,NA,NA
"41","RT @HaddadDebochado: “Eu não sabia nem o que era o SUS” - Eduardo Pazuello, Ministro da SAÚDE. https://t.co/20EUqvuGHF",FALSE,0,NA,2020-10-07 20:16:40,FALSE,NA,"1313936300446187520",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ThalyneDays",5,TRUE,FALSE,NA,NA
"42","RT @GuilhermeBoulos: “Eu não sabia nem o que era o SUS."" Essa frase foi dita HOJE pelo atual Ministro da Saúde do governo Bolsonaro, no mei…",FALSE,0,NA,2020-10-07 20:16:39,FALSE,NA,"1313936297787092993",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Flor_mg",1815,TRUE,FALSE,NA,NA
"43","RT @VittorGuidoni: se defende o sus = namora comigo",FALSE,0,NA,2020-10-07 20:16:39,FALSE,NA,"1313936295283093504",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","oliv_quel",2373,TRUE,FALSE,NA,NA
"44","RT @VittorGuidoni: se defende o sus = namora comigo",FALSE,0,NA,2020-10-07 20:16:38,FALSE,NA,"1313936291914973184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","theanenha",2373,TRUE,FALSE,NA,NA
"45","RT @reportersalles: O ""amigo do amigo do meu pai"" mandou soltar auxiliares do governo do Pará que são acusados de desviar recursos da Saúde…",FALSE,0,NA,2020-10-07 20:16:34,FALSE,NA,"1313936274177359874",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","CabralReinado",576,TRUE,FALSE,NA,NA
"46","@Filiperarte vigilância sanitária e epidemiológica, sistema de laboratórios de testagem da água... tudo SUS.",FALSE,0,"Filiperarte",2020-10-07 20:16:25,FALSE,"1313936025232834561","1313936238471270401","1269467820242411521","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","naosouarutinha",0,FALSE,FALSE,NA,NA
"47","Ocupação dos respiradores: 20.0%
Leitos UTI (Privado e SUS) livres: 9
Leitos UTI SUS livres: 9
Leitos Covid-19 fora… https://t.co/XereIHGt9d",FALSE,0,"CovidemPOA",2020-10-07 20:16:24,TRUE,"1313936230032175104","1313936233479929857","1300322406029037568","<a href=""https://robocovid.app"" rel=""nofollow"">Robôs do Covid - POA</a>","CovidemPOA",0,FALSE,FALSE,NA,NA
"48","RT @GuilhermeBoulos: “Eu não sabia nem o que era o SUS."" Essa frase foi dita HOJE pelo atual Ministro da Saúde do governo Bolsonaro, no mei…",FALSE,0,NA,2020-10-07 20:16:23,FALSE,NA,"1313936230061662213",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ElettraSantana",1815,TRUE,FALSE,NA,NA
